vote_id,vote_date,vote_title,vote_legal_type,vote_result,bill_id
383,1992-09-27,"Bundesgesetz über den Geschäftsverkehr der Bundesversammlung sowie über die Form, die Bekanntmachung und das Inkrafttreten ihrer Erlasse (Geschäftsverkehrsgesetz)",2,1,19900228-1
384,1992-09-27,Bundesgesetz über die Bezüge der Mitglieder der eidgenössischen Räte und über die Beiträge an die Fraktionen (Entschädigungsgesetz),2,0,19900228-5
387,1992-09-27,Bundesgesetz über das bäuerliche Bodenrecht,2,1,19880066-1
385,1992-09-27,Bundesgesetz über die Beiträge an die Infrastrukturkosten der Fraktionen und der Mitglieder der eidgenössischen Räte (Infrastrukturgesetz),2,0,19900062-1
388,1992-12-06,Bundesbeschluss über den Europäischen Wirtschaftsraum (EWR),1,0,19920052-1
391,1993-03-07,Volksinitiative «zur Abschaffung der Tierversuche»,3,0,19920032-1
389,1993-03-07,Bundesgesetz über die Erhöhung des Treibstoffzolles,2,1,19920038-4
390,1993-03-07,Bundesbeschluss über die Aufhebung des Spielbankenverbots,1,1,19920038-6
393,1993-06-06,Volksinitiative «für eine Schweiz ohne neue Kampfflugzeuge»,3,0,19920080-1
392,1993-06-06,Volksinitiative «40 Waffenplätze sind genug - Umweltschutz auch beim Militär»,3,0,19910051-1
394,1993-09-26,Bundesbeschluss gegen den Waffenmissbrauch,1,1,19910406-1
395,1993-09-26,Bundesbeschluss über den Anschluss des bernischen Amtsbezirks Laufen an den Kanton Basel-Landschaft,1,1,19930009-1
397,1993-09-26,Bundesbeschluss über befristete Massnahmen gegen die Kostensteigerung in der Krankenversicherung,2,1,19920067-1
396,1993-09-26,Volksinitiative «für einen arbeitsfreien Bundesfeiertag» (1. August-Initiative),3,1,19920050-1
398,1993-09-26,Bundesbeschluss über Massnahmen in der Arbeitslosenversicherung,2,1,19930010-1
404,1993-11-28,Volksinitiative «zur Verminderung der Tabakprobleme»,3,0,19920031-2
403,1993-11-28,Volksinitiative «zur Verminderung der Alkoholprobleme»,3,0,19920031-1
