preparl_phases_id,bill_id,preparl_phases_type,preparl_phases_order,preparl_phases_start_date,preparl_phases_end_state,preparl_phases_count
62,19900045-1,04,3,1989-04-26,1989-08-31,3
1983,19900059-1,05,1,1988-10-19,NA,1
1984,19900059-2,05,1,1998-10-19,NA,1
1985,19900059-3,05,1,1998-10-19,NA,1
1479,19900059-4,05,1,1998-10-19,NA,1
1986,19900059-5,05,1,1998-10-19,NA,1
63,19900067-1,04,1,NA,NA,1
118,19900067-2,04,1,NA,NA,1
1987,19900070-1,05,1,NA,NA,1
1988,19900071-1,02,1,NA,NA,1
1989,19900074-1,04,1,1989-10-02,1989-12-31,2
1990,19900074-1,03,2,NA,NA,2
78,19900075-1,01,1,1986-08-18,NA,3
79,19900075-1,03,2,1986-10-31,1988-03-31,3
82,19900075-1,04,3,1988-09-12,1989-02-28,3
83,19900077-1,03,1,1987-07-14,NA,3
85,19900077-1,03,3,1989-07-31,NA,3
86,19900077-1,04,3,1990-09-12,1990-10-15,3
87,19900077-2,03,1,1987-07-14,NA,3
88,19900077-2,03,2,1989-07-31,NA,3
89,19900077-2,04,3,1990-09-12,1990-10-15,3
1480,19900082-1,01,1,NA,NA,1
1481,19900082-2,01,1,NA,NA,1
1482,19900086-1,04,2,1990-12-03,1991-01-20,2
1483,19900086-1,03,1,1990-06-26,1990-11-20,2
1443,19910004-1,04,1,NA,1990-12-15,1
1444,19910004-2,04,1,NA,1990-12-15,1
1442,19910004-3,04,1,NA,1990-12-15,1
381,19910019-1,03,1,1985-10-04,1989-09-15,2
382,19910019-1,04,2,1989-09-21,1990-04-30,2
112,19910022-1,04,1,NA,NA,1
171,19910032-1,03,1,1978-06-30,1983-03-15,2
172,19910032-1,04,2,1985-08-27,1986-05-31,2
173,19910032-2,04,1,1985-08-27,1986-05-30,1
174,19910034-1,03,1,1972-06-30,1975-06-30,2
175,19910034-1,04,2,1982-04-07,1982-09-30,2
1991,19910037-1,03,1,1984-06-15,1986-08-15,1
176,19910045-1,04,1,1990-01-10,1990-03-31,1
121,19910047-1,04,1,1990-07-03,1990-09-30,1
1992,19910047-2,04,1,1990-07-03,1990-09-30,1
122,19910048-1,01,1,1990-07-03,1990-09-14,2
125,19910048-1,04,2,NA,1993-09-24,2
127,19910049-1,05,1,NA,NA,1
1484,19910054-1,03,1,1989-10-15,1990-12-21,2
1485,19910054-1,04,2,1990-12-21,1991-03-31,2
133,19910062-1,01,1,1990-09-26,NA,1
1993,19910063-1,05,1,NA,NA,1
